"species","pathways","genes","enzymes","metabolites","conversions","interactions","publications"
"Ephedra gerardiana","1","1","1","23","30","44","9"
"Gyrinops","1","10","10","4","3","32","14"
"Citrus trifoliata","1","29","34","32","38","130","42"
"Allium tuberosum","1","3","4","15","11","23","9"
"Solanum","1","2","2","9","15","25","4"
"Pericallis cruenta","1","4","4","8","4","18","4"
"Nicotiana rustica","1","11","15","22","21","62","27"
"Clostridium acetobutylicum","1","2","2","7","5","12","11"
"Citrus","1","3","3","7","5","15","6"
"Salvia stenophylla","1","3","3","3","2","8","7"
"Cerastium arvense","1","9","12","17","9","44","12"
"Pteris vittata","1","8","8","3","2","19","14"
"Prunus serotina","1","4","5","10","6","20","7"
"Thalassiosira pseudonana","1","3","3","6","6","16","8"
"Pinus banksiana","1","28","33","8","5","73","20"
"Ammi majus","1","3","7","22","33","68","11"
"Cinnamomum tenuipile","1","8","7","11","6","26","12"
"Carum carvi","1","5","8","14","8","29","10"
"Wollastonia biflora","1","1","2","15","8","19","12"
"Olea europaea","1","3","8","13","14","34","7"
"Croton","1","11","14","11","7","40","19"
"Lactococcus lactis","1","8","10","30","28","68","33"
"Citrus japonica","1","29","34","32","38","130","42"
"Cyanidioschyzon merolae","1","3","3","6","6","16","8"
"Citrus unshiu","1","29","34","32","38","130","42"
"Sterculia foetida","1","1","1","9","6","11","3"
"Acinetobacter baylyi","1","14","14","11","11","54","10"
"Nicotiana","1","6","4","1","1","11","4"
"Anaerotignum propionicum","1","2","2","7","5","12","11"
"Citrus hanaju","1","29","34","32","38","130","42"
"Tephrosia vogelii","1","0","1","9","6","12","14"
"Cinchona officinalis","1","0","2","13","12","22","2"
"Auxenochlorella pyrenoidosa","1","0","1","5","3","5","3"
"Bromus inermis","1","0","2","4","3","7","5"
"Lampranthus sociorum","1","0","1","7","4","10","5"
"Cryptomeria japonica","1","0","2","8","8","11","24"
"Cinchona calisaya","1","0","2","13","12","22","2"
"Allium siculum","1","0","2","4","3","5","4"
"Corydalis cava","1","0","1","6","4","9","2"
"Dictyostelium discoideum","1","0","1","5","3","5","3"
"Cinchona mutisii","1","0","2","13","12","22","2"
"Cinchona macrocalyx","1","0","2","13","12","22","2"
"Asparagus officinalis","1","0","2","8","8","11","24"
"Conium maculatum","1","0","2","20","23","37","3"
"Taxus chinensis","1","0","1","7","4","7","6"
"Euglena gracilis","1","0","1","5","3","5","3"
"Cinchona pitayensis","1","0","2","13","12","22","2"
"Colchicum autumnale","1","0","3","18","17","29","3"
"Cinchona pubescens","1","0","2","13","12","22","2"
"Alectoria (lichen)","1","0","0","8","8","10","6"
"Plectranthus barbatus","1","0","0","16","12","18","4"
"Cladonia","1","0","0","8","8","10","6"
"Jacquinia angustifolia","1","0","0","16","12","18","4"
"Ramalina","1","0","0","8","8","10","6"
"Lecanora","1","0","0","8","8","10","6"
"Evernia","1","0","0","8","8","10","6"
"Usnea","1","0","0","8","8","10","6"
"Petunia","1","0","0","5","4","4","2"
"Ulva curvata","1","0","0","4","3","3","15"
"Amanita muscaria","1","0","0","12","12","18","8"
"Pseudomonas","1","0","0","4","2","3","5"
"Trichosanthes kirilowii","1","2","2","5","3","11","2"
"Erwinia amylovora","1","7","9","8","6","26","16"
"Ceratodon purpureus","1","3","3","9","12","34","5"
"Linum","1","1","1","4","3","7","3"
"Sarcina ventriculi","1","7","9","8","6","26","16"
"Triticum","1","19","20","22","12","66","23"
"Davallia trichomanoides","1","3","5","15","4","22","11"
"Malus pumila","1","2","3","12","9","20","5"
"Arachis hypogaea","1","5","8","11","11","32","22"
"Phleum pratense","1","1","3","7","6","15","5"
"Nicotiana benthamiana","1","18","18","23","43","106","30"
"Cephalocereus senilis","1","1","3","14","12","22","26"
"Plumbago indica","1","1","1","11","6","12","4"
